Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP1,D10,BS252,21.5633333333333,22.26,23.11,NaN,27.96,0.554784736033923,0,0.0192366314585143,10,D,3,252,300252,2014-03-04,None,Batten Spr,16,1.06032906764168
GEP1,D11,BS93,22.595,22.935,24.1333333333333,NaN,28.4133333333333,0.435778421941072,0,0.0224314496143565,11,D,3,93,300093,2014-03-04,None,Batten Spr,16,1.06032906764168
GEP1,D12,AMK9,23.885,24.545,NaN,32.265,NaN,0,0.00474294876716816,0,12,D,3,9,300009,2014-03-11,None,Amarok,16,1.06032906764168
GEP1,D2,BW332,21.9,22.55,NaN,28.63,NaN,0,0.0147821507300874,0,2,D,3,332,300332,2014-02-04,None,Batten Win,16,1.06032906764168
GEP1,D4,CRWT261,21.49,22.455,NaN,28.78,NaN,0,0.0124734122868226,0,4,D,3,261,300261,2014-02-11,None,CRWT153,16,1.06032906764168
GEP1,D5,CRWT175,21.2533333333333,21.8666666666667,NaN,29.49,NaN,0,0.00507163511000616,0,5,D,3,175,300175,2014-02-18,None,CRWT153,16,1.06032906764168
GEP1,D6,SCN130,21.8533333333333,22.94,29.025,30.25,NaN,0.0147310083737225,0.00630188874392285,0,6,D,3,130,300130,2014-02-18,None,Saracen,16,1.06032906764168
GEP1,D7,BW328,21.5933333333333,22.54,NaN,29.115,NaN,0,0.0104888476779708,0,7,D,3,328,300328,2014-02-18,None,Batten Win,16,1.06032906764168
GEP1,D8,CRWT133,22.3666666666667,23.16,NaN,30.675,NaN,0,0.00546713228748123,0,8,D,3,133,300133,2014-02-25,None,CRWT153,16,1.06032906764168
GEP1,D9,AMK227,22.2366666666667,23.335,29.61,29.675,NaN,0.0129132862211596,0.0123443954978653,0,9,D,3,227,300227,2014-02-25,None,Amarok,16,1.06032906764168
GEP1,E1,BW107,23.275,23.42,NaN,29.885,NaN,0,0.01131986058246,0,1,E,3,107,300107,2014-02-04,None,Batten Win,16,1.06032906764168
GEP1,E10,CRWT186,23.55,23.825,NaN,32.88,NaN,0,0.00188006727168312,0,10,E,3,186,300186,2014-03-04,None,CRWT153,16,1.06032906764168
GEP1,E12,SCN95,21.56,22.68,27.77,NaN,NaN,0.0293600859129378,0,0,12,E,3,95,300095,2014-03-11,None,Saracen,16,1.06032906764168
GEP1,E2,BS243,24.3733333333333,24.74,28.56,NaN,NaN,0.0708052428309874,0,0,2,E,3,243,300243,2014-02-04,None,Batten Spr,16,1.06032906764168
GEP1,E3,CRWT98,21.5066666666667,21.875,NaN,28.7266666666667,NaN,0,0.00865850302558789,0,3,E,3,98,300098,2014-02-11,None,CRWT153,16,1.06032906764168
GEP1,E4,OT241,21.2233333333333,21.71,23.605,30.84,28.34,0.268873597614345,0.0017848270512293,0.0100965064893554,4,E,3,241,300241,2014-02-11,None,Otane,16,1.06032906764168
GEP1,E5,OT48,21.8966666666667,22.28,22.31,NaN,24.76,0.979420297586929,0,0.179244406001979,5,E,3,48,300048,2014-02-18,None,Otane,16,1.06032906764168
GEP1,E6,AMK193,22.5133333333333,23.44,NaN,31.56,NaN,0,0.00359448301025342,0,6,E,3,193,300193,2014-02-18,None,Amarok,16,1.06032906764168
GEP1,E7,BS100,23.74,23.6066666666667,25.0766666666667,NaN,31.855,0.360982298880623,0,0.0032885485087064,7,E,3,100,300100,2014-02-25,None,Batten Spr,16,1.06032906764168
GEP1,E9,BS132,22.1133333333333,22.5233333333333,23.7066666666667,NaN,29.5466666666667,0.440332936798074,0,0.00768716135553213,9,E,3,132,300132,2014-02-25,None,Batten Spr,16,1.06032906764168
GEP1,F1,OT31,27.525,26.5733333333333,28.725,NaN,33.16,0.225052474604527,0,0.0104043693704837,1,F,3,31,300031,2014-02-04,None,Otane,16,1.06032906764168
GEP1,F10,AMK304,24.46,25.425,NaN,33.315,NaN,0,0.00421573529884543,0,10,F,3,304,300304,2014-03-04,None,Amarok,16,1.06032906764168
GEP1,F11,OT188,23.825,24.935,25.68,NaN,27.3366666666667,0.596667871515861,0,0.189245819138925,11,F,3,188,300188,2014-03-11,None,Otane,16,1.06032906764168
GEP1,F12,BW219,25.7266666666667,25.48,NaN,NaN,NaN,0,0,0,12,F,3,219,300219,2014-03-11,None,Batten Win,16,1.06032906764168
