Plate,sample_well,qPCR_well,Name,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
GEP1,A11,A21,AMK190,NA,Ta54227,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A22,AMK190,22.73,Ta54227,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,B21,AMK190,22.86,Ta54227,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A23,SCN123,28.2,VRN1,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A24,SCN123,27.87,VRN1,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,B23,SCN123,NA,VRN1,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A23,SCN123,30.55,VRN2,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A24,SCN123,NA,VRN2,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,B23,SCN123,30.4,VRN2,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A23,SCN123,NA,VRN3,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A24,SCN123,NA,VRN3,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,B23,SCN123,NA,VRN3,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A23,SCN123,NA,EGF1a,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A24,SCN123,20.95,EGF1a,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,B23,SCN123,20.86,EGF1a,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A23,SCN123,22.23,Ta54227,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,A24,SCN123,NA,Ta54227,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A12,B23,SCN123,22.33,Ta54227,12,A,3,123,300123,2014-03-11,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A3,CRWT262,NA,VRN1,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A4,CRWT262,NA,VRN1,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,B3,CRWT262,NA,VRN1,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A3,CRWT262,NA,VRN2,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A4,CRWT262,29.67,VRN2,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,B3,CRWT262,29.69,VRN2,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A3,CRWT262,NA,VRN3,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,A4,CRWT262,NA,VRN3,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A2,B3,CRWT262,NA,VRN3,2,A,3,262,300262,2014-02-04,None,CRWT153,16,NA,NA,NA,NA,NA,NA,NA
