ex_sample_plate,ex_sample_plate_well,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp
GEP2,F6,SCN310,B3,20.6366666666667,23.76,31.26,32.77,NaN,0.00552427172801992,0.00193963378015047,0,6,F,3,310,300310,2014-04-01,None,Saracen,16
GEP2,F7,BW279,E11,24.5166666666667,28.3833333333333,NaN,34.835,NaN,0,0.0114249632377143,0,7,F,3,279,300279,2014-04-09,None,Batten Win,16
GEP2,G4,CRWT232,B2,20.5033333333333,23.95,NaN,33.81,NaN,0,0.00107607921472325,0,4,G,3,232,300232,2014-03-25,None,CRWT153,16
GEP2,G5,CRWT151,F2,22.4533333333333,25.48,27.3066666666667,NaN,32.9733333333333,0.281915231761451,0,0.00554985835597258,5,G,3,151,300151,2014-04-01,None,CRWT153,16
GEP2,G6,CRWT271,C3,21.5466666666667,24.65,NaN,32.7233333333333,NaN,0,0.00371265420980782,0,6,G,3,271,300271,2014-04-01,None,CRWT153,16
GEP2,G8,AMK293,C4,20.2,23.2966666666667,NaN,31.64,NaN,0,0.0030789767030439,0,8,G,3,293,300293,2014-04-23,None,Amarok,16
GEP2,H2,CRWT196,D1,22.3,25.4466666666667,NaN,NaN,NaN,0,0,0,2,H,3,196,300196,2014-03-18,None,CRWT153,16
GEP2,H4,BW256,G9,22.45,25.42,NaN,NaN,NaN,0,0,0,4,H,3,256,300256,2014-03-25,None,Batten Win,16
GEP2,H5,AMK69,G2,24.3866666666667,25.81,25.3566666666667,33.5,29.3666666666667,1.36920012895119,0.00484260820288666,0.0849838983008031,5,H,3,69,300069,2014-04-01,None,Amarok,16
GEP2,H6,CRWT42,D3,27.2966666666667,26.62,26.355,NaN,30.775,1.20163604952685,0,0.056133273305246,6,H,3,42,300042,2014-04-09,None,CRWT153,16
GEP2,H7,CRWT271,H3,22.74,25.9633333333333,NaN,NaN,NaN,0,0,0,7,H,3,271,300271,2014-04-09,None,CRWT153,16
GEP5,A6,SCN290,F11,20.31,24.235,23.7333333333333,NaN,27.6933333333333,1.41584827000789,0,0.0909783239276366,6,A,3,290,300290,2014-05-28,Full,Saracen,16
GEP5,A7,AMK114,G11,19.735,22.42,22.4733333333333,NaN,24.6333333333333,0.963707118391553,0,0.215635507998048,7,A,3,114,300114,2014-06-03,Full,Amarok,16
GEP5,D1,BW155,H4,26.4,27.69,NaN,NaN,NaN,0,0,0,1,D,3,155,300155,2014-05-16,None,Batten Win,16
GEP5,F5,AMK22,H11,23.635,27.09,NaN,31.395,NaN,0,0.050590138534213,0,5,F,3,22,300022,2014-05-28,Full,Amarok,16
GEP5,H7,CRWT216,A12,22.6966666666667,26.3233333333333,31.0066666666667,30.76,NaN,0.0389203006987132,0.046177482518426,0,7,H,3,216,300216,2014-06-03,Full,CRWT153,16
GEP6,A10,BW277,B12,20.84,23.6733333333333,32.795,NaN,NaN,0.00179516644915338,0,0,10,A,4,277,400277,2014-08-23,None,Batten Win,8
GEP6,B2,OT36,C12,22.335,25.355,25.9,NaN,NaN,0.685391402489853,0,0,2,B,4,36,400036,2014-08-04,None,Otane,8
GEP6,F10,BW218,D12,23.9266666666667,25.68,NaN,NaN,NaN,0,0,0,10,F,4,218,400218,2014-08-23,None,Batten Win,8
GEP7,A3,OT21,B6,21.7166666666667,23.64,24.6866666666667,NaN,28.37,0.484085347991441,0,0.0376814946153363,3,A,4,21,400021,2014-09-08,None,Otane,8
