Name,Plate,sample_well,SampleDate,qPCR_well,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
AMK110,GEP5,A9,2014-06-10,B17,NA,EGF1a,9,A,3,110,300110,Full,Amarok,16,NA,NA,NA,NA,NA,NA,NA
AMK110,GEP5,A9,2014-06-10,A17,25.1,Ta54227,9,A,3,110,300110,Full,Amarok,16,NA,NA,NA,NA,NA,NA,NA
AMK110,GEP5,A9,2014-06-10,A18,NA,Ta54227,9,A,3,110,300110,Full,Amarok,16,NA,NA,NA,NA,NA,NA,NA
AMK110,GEP5,A9,2014-06-10,B17,25.12,Ta54227,9,A,3,110,300110,Full,Amarok,16,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M21,NA,VRN1,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M22,24.91,VRN1,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,N21,24.96,VRN1,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M21,NA,VRN2,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M22,NA,VRN2,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,N21,NA,VRN2,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M21,32.96,VRN3,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M22,NA,VRN3,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,N21,32.56,VRN3,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M21,23.73,EGF1a,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M22,23.78,EGF1a,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,N21,NA,EGF1a,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M21,26.18,Ta54227,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,M22,26.23,Ta54227,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1134,GEP9,G11,2014-11-11,N21,26.32,Ta54227,11,G,4,1134,401134,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
