"plate","Genotype","Pot","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","Time","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
1,"BS","185",26.659761428833,28.373919804891,28.175443649292,NA,27.6689535776774,1,0.349731046756833,NA,0.49682437149344,1.14748568469314,NA,1.63010650436128
1,"BS","31",28.6129302978515,30.1152489980062,30.0222415924072,NA,29.6131677627563,1,0.376491371242075,NA,0.499917707708143,1.066591255812,NA,1.41625518244412
1,"BS","55",29.993668238322,31.9010639190674,30.9328390757243,NA,31.2289733886719,1,0.521532535591194,NA,0.424752648891067,1.95643183211617,NA,1.59338017545569
1,"BS","98",25.0782165527344,27.2072188059489,27.0106989542643,NA,26.2886555989584,1,0.261978005268414,NA,0.432137086104833,1.14593074109232,NA,1.89023185677829
1,"BW","144",28.52334912618,29.4685929616292,NA,35.7261047363282,34.9559783935547,1,NA,0.00678819813221434,0.0115767229366519,NA,0.0130707725564555,0.0222911455303556
1,"BW","150",29.1563968658447,30.0633201599121,NA,35.2989521026611,NA,1,NA,0.0141548940726606,NA,NA,0.0265410279276954,NA
1,"BW","28",29.2502241134644,29.7344636917115,NA,35.6382465362549,NA,1,NA,0.0119402559880665,NA,NA,0.0167026075115188,NA
1,"BW","65",34.6666049957275,34.4759712219238,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1,"OT","119",24.6925799051921,NA,26.3862419128418,NA,27.0093313852946,1,0.309141231874054,NA,0.20071892021618,NA,NA,NA
1,"OT","169",26.5834369659424,NA,27.659288406372,NA,28.224027633667,1,0.474391004827223,NA,0.320725136327548,NA,NA,NA
1,"OT","18",28.5214004516601,NA,29.2678518295288,NA,29.8669261932373,1,0.596067914446684,NA,0.393510560493196,NA,NA,NA
1,"OT","62",28.7207164764405,NA,29.8415609995524,NA,30.6566495895385,1,0.459824574949081,NA,0.261352141700578,NA,NA,NA
1,"SCN","137",28.1946709950765,29.3551998138428,31.5864858627319,34.4789829254151,34.1320266723633,1,0.0952712766996047,0.0128302053340048,0.0163184102116514,0.212968793411758,0.0286805577070581,0.0364780682443392
1,"SCN","16",28.1755743026733,29.0249474843343,35.9248390197754,34.8836917877197,NA,1,0.004647708437133,0.00956434916660277,NA,0.00837385971510995,0.0172322595685166,NA
1,"SCN","164",28.6690705617269,29.6137437820434,33.59916305542,35.8007520039876,34.7265644073486,1,0.0328015433317055,0.00713099228127614,0.0150145615262844,0.0631348646009067,0.01372539784472,0.028899320358737
1,"SCN","71",35.7348155975342,33.7369785308837,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1,"BS","37",26.5337397257487,28.3813037872314,27.6869106292725,NA,27.8859901428223,2,0.449635888468946,NA,0.391680601265565,1.6182036235548,NA,1.40962717723062
1,"BS","80",25.3538659413656,27.8514375686646,27.1454696655274,NA,26.2996724446615,2,0.288850776046081,NA,0.519139258439666,1.63123869472058,NA,2.93175617496084
2,"BS","139",27.11115137736,28.2873640060425,27.6802539825439,NA,27.4577379226684,2,0.67403592639579,NA,0.786442642476111,1.52320489865366,NA,1.77722468286703
2,"BS","161",27.4431215922038,29.1101328531901,28.1152280171712,NA,28.9571755727132,2,0.627589697792594,NA,0.350125979509735,1.99294906112806,NA,1.11184623424312
1,"BW","51",29.7185548146566,30.4853782653808,NA,NA,35.920804977417,2,NA,NA,0.0135811535804572,NA,NA,0.023108593894209
2,"BW","124",28.6931962966919,28.6616986592611,NA,34.4305267333984,31.4946022033691,2,NA,0.0187452589199199,0.143447436677195,NA,0.0183404382841117,0.140349560954657
2,"BW","158",29.4987287521362,29.6222877502441,NA,34.5771007537842,33.7195110321045,2,NA,0.0295976819038818,0.0536312511418866,NA,0.0322442784589428,0.058426906591414
1,"OT","15",26.7481772104899,NA,28.0175018310547,NA,27.7836920420329,2,0.414853936078977,NA,0.487841761022721,NA,NA,NA
